system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
636,40.73186678000002,-0.057853305010621,0.2225270758122743,-0.2190503617840815,21824.0,0.0,8618.0,9110.0,10847.0,10768.0,16932.0,15080.0,12087.0,224.0,5973.0,48239.0,447.0,1576.0,9551.0,270.0,313.0,10078.0,3339.0,"{""type"":""Point"",""coordinates"":[81.50770539492085,21.187069202727397]}",81.50770539492085,21.187069202727397
637,45.927257180000026,0.0337855352976756,0.1542908265088431,-0.1742098078336658,21824.0,0.0,9556.0,10094.0,11796.0,12289.0,16773.0,17946.0,15408.0,224.0,5993.0,49759.0,348.0,1570.0,9696.0,71.0,277.0,10394.0,3324.0,"{""type"":""Point"",""coordinates"":[81.59019043941547,21.23152896093917]}",81.59019043941547,21.23152896093917
638,50.35359308,-0.030628694250403,0.1814624248133922,-0.1978692138133725,21824.0,0.0,8561.0,9395.0,10917.0,11295.0,16303.0,15334.0,12904.0,224.0,6368.0,51054.0,10822.0,1464.0,9633.0,79.0,227.0,11251.0,3059.0,"{""type"":""Point"",""coordinates"":[81.70745093347233,21.20274588718609]}",81.70745093347233,21.20274588718609
639,46.53224671999999,-0.1145112900678983,0.2828892362499545,-0.2555946917138079,21824.0,0.0,8592.0,8979.5,10461.5,9863.5,17645.5,14019.5,10986.0,224.0,5891.5,49936.0,5500.5,1598.5,9618.0,122.0,312.0,10655.5,3398.5,"{""type"":""Point"",""coordinates"":[81.5953113015272,21.204788840470254]}",81.5953113015272,21.204788840470254
640,50.45955170000002,-0.0404393759182816,0.2035935413378657,-0.1910616314925313,21824.0,0.0,8573.0,8899.0,10100.0,9840.0,14871.0,13715.0,11477.0,194.0,6375.0,51085.0,10089.0,1464.0,9718.0,67.0,224.0,11333.0,3057.0,"{""type"":""Point"",""coordinates"":[81.65754560119225,21.271575204008393]}",81.65754560119225,21.271575204008393
641,47.70120956000005,0.0496161643016184,0.1104294478527607,-0.1249754140277723,21824.0,0.0,9190.0,9702.0,11122.0,11455.0,14299.0,15792.0,13991.0,224.0,6009.0,50278.0,593.0,1567.0,9652.0,84.0,258.0,10733.0,3316.0,"{""type"":""Point"",""coordinates"":[81.61597131661253,21.342103706633775]}",81.61597131661253,21.342103706633775
642,43.85081003000005,-0.0286559607143401,0.2057777221616403,-0.2096701877723775,21824.0,0.0,8833.5,9454.5,11017.0,11107.0,16862.5,15923.0,13140.5,224.0,6186.5,49151.5,5036.0,1517.5,9660.0,96.0,307.0,10542.5,3192.0,"{""type"":""Point"",""coordinates"":[81.67825198123806,21.278459674752597]}",81.67825198123806,21.278459674752597
643,55.20034543999998,0.0466845751449172,0.1436421920317508,-0.180214240705734,21824.0,0.0,9263.0,10014.5,11709.0,12622.5,16857.0,18508.0,15814.5,224.0,6364.5,52472.0,13945.5,1464.5,9693.0,59.0,227.0,11811.5,3060.0,"{""type"":""Point"",""coordinates"":[81.70686893744231,21.168605130340655]}",81.70686893744231,21.168605130340655
644,48.27714593000002,0.0318851162224656,0.1653756706769946,-0.1850803523211858,21824.0,0.0,8914.0,9542.5,10940.5,11394.5,15910.0,16958.0,13967.0,224.0,6202.0,50446.5,5185.5,1509.0,9686.0,91.0,291.5,11005.5,3173.5,"{""type"":""Point"",""coordinates"":[81.74785085246005,21.254851139319744]}",81.74785085246005,21.254851139319744
645,36.35338316000002,-0.0791388418219874,0.0465925567907201,-0.027961072869689,21824.0,0.0,8262.0,8821.0,10238.0,9863.0,10827.0,9239.0,8610.0,224.0,6004.0,46958.0,309.0,1568.0,9904.0,576.0,455.0,9738.0,3318.0,"{""type"":""Point"",""coordinates"":[81.57277029613414,21.33429494762154]}",81.57277029613414,21.33429494762154
