system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
353,57.62543062999998,0.0813883386443889,0.0924734119735741,-0.143234842259459,21824.0,0.0,9663.5,10305.0,11990.0,13290.5,15999.0,18834.0,16989.5,177.0,6362.5,53181.5,14000.5,1466.0,9659.0,85.0,233.0,12050.0,3063.5,"{""type"":""Point"",""coordinates"":[81.67338022933144,21.16745241394341]}",81.67338022933144,21.16745241394341
1600,57.58612340000002,0.069847262742406,0.0907826850598265,-0.1285468208748982,21824.0,0.0,9146.5,9877.0,11509.5,12424.0,14905.0,17143.5,15351.5,224.0,6356.5,53170.0,14005.5,1468.5,9735.5,72.0,231.0,12106.5,3068.5,"{""type"":""Point"",""coordinates"":[81.67336387136446,21.14568154027059]}",81.67336387136446,21.14568154027059
1904,57.57928736000002,0.0642192885478311,0.0968860769142813,-0.1322291289637265,21824.0,0.0,9062.0,9659.0,11028.5,11847.5,14389.5,16364.5,14643.5,224.0,6361.0,53168.0,14058.0,1468.0,9589.5,167.0,258.0,11988.0,3066.5,"{""type"":""Point"",""coordinates"":[81.64230047147285,21.174491178982706]}",81.64230047147285,21.174491178982706
478,57.570742310000014,0.0386400971359188,0.1612858695839732,-0.1931566350500842,21824.0,0.0,9264.5,9914.5,11377.5,12151.5,16825.0,18177.5,14977.0,177.0,6358.5,53165.5,14059.0,1468.5,9603.0,99.0,237.0,11996.5,3068.0,"{""type"":""Point"",""coordinates"":[81.64413945356232,21.15204363644053]}",81.64413945356232,21.15204363644053
1159,57.5690333,0.0581645320495352,0.1092251185679135,-0.1486918148414852,21824.0,0.0,9082.5,9871.5,11526.5,12490.0,15553.0,17474.0,15065.0,224.0,6363.0,53165.0,13938.0,1465.0,9579.0,198.0,271.0,11975.5,3061.0,"{""type"":""Point"",""coordinates"":[81.7122959577511,21.163651243837858]}",81.7122959577511,21.163651243837858
1192,57.53143508000005,0.0795653990806519,0.1158808430154012,-0.1622605667247111,21824.0,0.0,9678.0,10376.0,11907.0,13088.5,16519.5,19375.5,16820.0,224.0,6358.0,53154.0,13998.0,1468.0,9730.0,65.0,230.0,12096.5,3067.0,"{""type"":""Point"",""coordinates"":[81.67711582034953,21.148773090988133]}",81.67711582034953,21.148773090988133
185,57.49041884000002,0.0544742318521238,0.1008729734544806,-0.147824794739384,21824.0,0.0,9240.5,9900.0,11469.0,12617.0,15448.0,17228.0,14978.5,224.0,6358.0,53142.0,14041.5,1469.0,9582.5,208.0,275.0,11971.0,3068.5,"{""type"":""Point"",""coordinates"":[81.65230771369048,21.157885678520902]}",81.65230771369048,21.157885678520902
2043,57.48016478,0.0761691072272083,0.1086232551548218,-0.1508219631495715,21824.0,0.0,9449.5,10114.5,11545.0,12580.0,15646.0,18226.0,16022.5,192.0,6366.5,53139.0,13987.5,1465.0,9672.0,81.0,232.0,12048.0,3059.5,"{""type"":""Point"",""coordinates"":[81.67781711892528,21.1923295511316]}",81.67781711892528,21.1923295511316
115,57.45965666000001,0.043892847041711,0.1140404563501404,-0.1687520579519262,21824.0,0.0,9760.5,10775.0,12622.5,14114.0,17747.5,19377.0,16276.5,177.0,6351.0,53133.0,14136.5,1472.0,9529.0,428.0,398.0,11921.0,3076.0,"{""type"":""Point"",""coordinates"":[81.61163769955785,21.11919566547035]}",81.61163769955785,21.11919566547035
2132,57.40496833999998,0.0104700919547206,0.1540721339326797,-0.1806068506046781,21824.0,0.0,9193.5,9861.5,11315.0,11950.0,16303.0,16648.0,14232.0,224.0,6361.5,53117.0,14071.0,1467.5,9598.5,136.0,247.0,11976.5,3066.0,"{""type"":""Point"",""coordinates"":[81.6364092055994,21.169283512605375]}",81.6364092055994,21.169283512605375
