system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo
693,42.83736710000005,-0.011451416181054344,0.141906364749082,-0.14024902604843023,21824.0,0.0,9011.0,9736.0,11255.0,11217.0,14927.0,14589.0,12902.0,224.0,6017.0,48855.0,99.0,1563.0,9669.0,95.0,370.0,10157.0,3307.0,"{""type"":""Point"",""coordinates"":[81.71178938347806,21.27627217941972]}"
694,49.13848697000003,0.06092555798877496,0.1435635695742013,-0.1691674340501598,21824.0,0.0,9275.5,9966.0,11503.5,12123.5,16188.0,18288.5,15424.5,224.0,6196.0,50698.5,5290.0,1511.0,9674.0,67.0,306.5,11091.0,3177.5,"{""type"":""Point"",""coordinates"":[81.73960554075998,21.229591078764006]}"
695,44.24900936000006,0.03904106439399745,0.1457918303938591,-0.15342299413095872,21793.0,0.0,9017.0,9640.0,11503.5,11684.5,15673.0,16946.5,14391.0,224.0,6191.0,49268.0,5117.5,1515.0,9698.0,116.0,454.5,10635.0,3185.5,"{""type"":""Point"",""coordinates"":[81.71407907033061,21.255510766633314]}"
696,49.041073400000016,0.036365680240564316,0.16674889837861748,-0.1964687614494827,21824.0,0.0,9374.0,9990.0,11514.0,12244.0,17144.5,18438.5,15341.5,224.0,5982.0,50670.0,385.0,1572.0,9690.0,94.0,254.0,10607.5,3331.0,"{""type"":""Point"",""coordinates"":[81.54071104634609,21.187470843307693]}"
697,44.941158410000014,-0.021002635191643127,0.15784764597462556,-0.17637219788011563,21824.0,0.0,9021.0,9672.5,11325.5,11765.5,16176.0,15510.5,13426.0,224.0,6187.0,49470.5,5038.5,1517.5,9687.0,87.0,305.5,10669.0,3191.5,"{""type"":""Point"",""coordinates"":[81.67909678513563,21.277444436448604]}"
698,56.598315619999994,0.0699387200887208,0.1123505705103134,-0.15828242585214697,21824.0,0.0,9382.0,10247.0,11884.0,13050.0,16353.5,18813.0,16210.0,224.0,6366.0,52881.0,13966.0,1464.5,9752.0,77.0,230.0,12015.0,3059.5,"{""type"":""Point"",""coordinates"":[81.69288175120298,21.17663914614472]}"
699,44.50706987000001,0.006236662310377343,0.15924353531455038,-0.16819322093226766,21824.0,0.0,8909.5,9434.0,10693.5,10892.0,15018.0,15206.5,12441.5,224.0,5717.0,49343.5,532.5,1645.5,9621.5,214.0,306.5,10458.0,3518.0,"{""type"":""Point"",""coordinates"":[81.58650758267068,21.28011222688772]}"
700,49.519596200000024,-0.007077282590552496,0.12119973240169479,-0.1425379211089439,21824.0,0.0,9209.0,9845.0,11320.0,11822.5,15083.5,14871.5,13404.0,209.0,6201.5,50810.0,5319.0,1508.0,9598.0,70.0,293.5,11064.5,3172.0,"{""type"":""Point"",""coordinates"":[81.75544225071454,21.229059576091217]}"
701,39.96623030000001,0.04254157929509091,0.11403743315508022,-0.16663749956249344,21824.0,0.0,9568.0,10353.0,11905.0,13254.0,16666.0,18147.0,15355.0,224.0,5421.0,48015.0,344.0,1729.0,9722.0,74.0,504.0,10114.0,3729.0,"{""type"":""Point"",""coordinates"":[81.60697317669592,21.366825284006328]}"
702,53.99378438000002,0.017156954360258662,0.1073955525606469,-0.12593671048687535,21824.0,0.0,8601.0,9168.0,10206.0,10597.0,13147.0,13606.0,12173.0,224.0,6362.0,52119.0,11085.0,1469.0,9671.0,58.0,226.0,11666.0,3068.0,"{""type"":""Point"",""coordinates"":[81.59541237509995,21.187620291036158]}"
